Nom du lieu,Discipline,Offre,Avantage tarifaire / service,Type d'avantage,Adresse,Commune,Latitude,Longitude,Color
7 Parnassiens,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,98 Boulevard Montparnasse,Paris,48.84245103273911,2.3276432219999443,"[255, 0, 0]"
Amaclio productions,Expérience,"Nous proposons aux détenteurs de la carte Navigo, un Tarif Navigo Culture équivalent au tarif réduit de l'éxpérience Eternelle Notre-Dame, c’est-à-dire 20,99€ au lieu de 30,99€",Avantage tarifaire,Tarif réduit,86 Boulevard de la Tour-Maubourg,Paris,48.85542714108581,2.309531767558772,"[255, 0, 0]"
Cabaret Sauvage,Musique | Théâtre,Tarif réduit sur les productions et services specifiques comme rencontres avec les artistes,Avantage tarifaire et service,"Tarif réduit,Rencontre d'artistes",59 Boulevard Macdonald,Paris,48.89545122647197,2.3921649631055004,"[0, 9, 255]"
Centre André Malraux,Cinéma,Tarif réduit sur certains évènements cinéma,Avantage tarifaire,Tarif réduit,10 Avenue Francis de Pressensé,Le Bourget,48.93233488059488,2.424759475374801,"[255, 0, 0]"
Centre Culturel du Forum,Théâtre | Musique,La Ville de Saint Gratien propose aux détenteurs du Pass Navigo Culture de bénéficier du tarif réduit aux spectacles de la saison culturelle,Avantage tarifaire,Tarif réduit,Place François Truffaut,Saint Gratien,48.968232190439494,2.285217434840511,"[255, 0, 0]"
Centre d'Action Cinématographique Le Rex,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet (en attente de confirmation),Avantage tarifaire,Tarif réduit,364 Avenue de la Division Leclerc,Châtenay-Malabry,48.76582648834517,2.2599366150159623,"[255, 0, 0]"
Centre des bords de Marne,Cinéma,Offre de place tarifs réduits salles adhérentes,Avantage tarifaire,Tarif réduit,2 Rue de la Prairie,Le Perreux-sur-Marne,48.846878475554306,2.5096025465370895,"[255, 0, 0]"
Château de Champs-sur-Marne - Centre des Monuments Nationaux (CMN),Patrimoine | Jardin,Tarif spécial sur billet simple,Avantage tarifaire,Tarif réduit,31 Rue de Paris,Champs-sur-Marne,48.8536002639526,2.6040688925524367,"[255, 0, 0]"
Château de Rambouillet - Centre des Monuments Nationaux (CMN),Patrimoine | Jardin,Tarif spécial sur billet simple,Avantage tarifaire,Tarif réduit,Domaine national de Rambouillet,Rambouillet,48.64539514515633,1.8173804925481594,"[255, 0, 0]"
Château Rosa Bonheur,Patrimoine | Jardin | Musée,Tarif réduit sur réservation et rencontre avec les artistes même tarif pour accompagnant,Avantage tarifaire et service,"Tarif réduit,Rencontre d'artistes,Tarif réduit accompagnant",12 Rue Rosa Bonheur,Thomery,48.39602355173605,2.7833161796627977,"[0, 9, 255]"
Ciné 220,Cinéma,Offre ponctuelle et tarif réduit sur les salles adhérentes,Avantage tarifaire,Tarif réduit,3 Rue Anatole France,Brétigny-sur-Orge,48.60863376433001,2.304189155741818,"[255, 0, 0]"
Cinéma André Malraux,Cinéma,Tarif réduit sur certains évènements cinéma,Avantage tarifaire,Tarif réduit,25 Cours de la République,Bondy,48.90160154927898,2.4801404716155804,"[255, 0, 0]"
Cinéma Jacques Prévert,Cinéma,"Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet, + tarif réduit de 16€ au lieu de 22€ sur la programmation retransmissions ""The Metropolitan Opera, Bolchoï et la Comédie Française""",Avantage tarifaire,Tarif réduit,134 Rue Anatole-France,Aulnay-sous-bois,48.94037471068953,2.4963628978621846,"[255, 0, 0]"
Cinéma Le Casino,Cinéma,Tarif réduit sur des séances du festival Ciné junior et sur des séances évènementielles,Avantage tarifaire,Tarif réduit,13 Rue Guillaume Budé,Villiers-sur-Marne,48.8259208931374,2.542455211176883,"[255, 0, 0]"
Cinéma Le Conti,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Inconnu,Inconnu,Place du Patis,L'Isle-Adam,49.109996098789594,2.21185772261719,"[192, 192, 192]"
Cinéma Les 7 Batignolles,Cinéma,Tarif réduit de 11€90 au lieu de 14€20 tous les lundis et jeudis hors évènement,Avantage tarifaire,Tarif réduit,25 Allée Colette Heilbronner,Paris,48.892595316904455,2.3100471870160932,"[255, 0, 0]"
Cinéma Lino Ventura,Cinéma,Offre ponctuelle et tarif réduit sur les salles adhérentes,Avantage tarifaire,Tarif réduit,4 Rue Samuel Debordes,Athis-Mons,48.70982689357582,2.3875952885376726,"[255, 0, 0]"
Cinéma Prévert,Cinéma,Tarif réduit sur des séances du festival Ciné junior et sur des séances évènementielles,Avantage tarifaire,Tarif réduit,23 Rue de Paris,Joinville-le-Pont,48.818408342868686,2.4672662824142857,"[255, 0, 0]"
Cinétampes,Cinéma,Offre de place tarifs réduits salles adhérentes,Avantage tarifaire,Tarif réduit,Rue Léon Marquis,Étampes,48.434316120595575,2.1571598031559445,"[255, 0, 0]"
Cité des sciences et de l’industrie,Musée,"Tarif réduit accordé dans la limite des stocks éligibles sur achat billetterie en ligne d’un billet plein tarif Expositions de la Cité des sciences et de l’industrie sur activation du code promotionnel NAVIGO : offre valable 1 an, reconductible 2 fois",Avantage tarifaire,Tarif réduit,30 Avenue Corentin Cariou,Paris,48.895746449862834,2.3879156932534062,"[255, 0, 0]"
Domont cinéma,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Avantage tarifaire,Inconnu,12 Allée Sainte-Thérèse,Domont,49.02988049138035,2.3341678612536114,"[255, 0, 0]"
Espace Jean-Marie Poirier,Cinéma,Tarif réduit sur des séances du festival Ciné junior et sur des séances évènementielles,Avantage tarifaire,Tarif réduit,Esplanade du 18 Juin 1940,Sucy-en-Brie,48.771495750647446,2.518122030485599,"[255, 0, 0]"
